Sample,Ammonium.5m
ERS488299,0.00481592700816691
ERS488332,0.0091195614853253
ERS489585,0.0105025597537557
ERS488547,0.0112219053941468
ERS494394,0.011274376573662
ERS490437,0.011292623821646
ERS489339,0.011667649106433
ERS489677,0.0118023779553672
ERS490542,0.0119591918773949
ERS490396,0.0128447765794893
ERS489164,0.0151700967301925
ERS490331,0.0152830765582621
ERS490269,0.0158079856385787
ERS489136,0.0158915508848925
ERS490659,0.0177185568027198
ERS488625,0.0194904902018607
ERS488573,0.0201475468153755
ERS489074,0.0202778459837039
ERS488920,0.0255101999888817
ERS491424,0.0408711628988385
ERS490743,0.096365528802077
